"RA";"faixa_etaria";"Masculino";"Feminino"
"SÃO SEBASTIÃO";"0 a 15 anos";12262,47514135;10321,73241601
"SÃO SEBASTIÃO";"16 a 24 anos";10905,93591407;9812,76593423
"SÃO SEBASTIÃO";"25 a 34 anos";6945,71628675;7816,63268765
"SÃO SEBASTIÃO";"35 a 44 anos";6744,36628905;7998,4819373
"SÃO SEBASTIÃO";"45 a 59 anos";8774,98647563;9530,24168573
"SÃO SEBASTIÃO";"60 anos ou mais";3928,51850847;4482,76946786
"RECANTO DAS EMAS";"0 a 15 anos";15596,86683624;15438,79048317
"RECANTO DAS EMAS";"16 a 24 anos";16229,17224852;14068,79542323
"RECANTO DAS EMAS";"25 a 34 anos";10907,26836183;11118,03683259
"RECANTO DAS EMAS";"35 a 44 anos";9326,50483113;11381,49742104
"RECANTO DAS EMAS";"45 a 59 anos";13067,64518712;16281,86436621
"RECANTO DAS EMAS";"60 anos ou mais";6639,20682894;6849,9752997
"LAGO SUL";"0 a 15 anos";1387,17141632;1293,44361792
"LAGO SUL";"16 a 24 anos";1537,13589376;1424,66253568
"LAGO SUL";"25 a 34 anos";1443,40809536;1780,8281696
"LAGO SUL";"35 a 44 anos";1987,02932608;2193,23048256
"LAGO SUL";"45 a 59 anos";2868,07063104;3205,49070528
"LAGO SUL";"60 anos ou mais";4780,1177184;5080,04667328
"RIACHO FUNDO";"0 a 15 anos";3326,34089472;4079,96500368
"RIACHO FUNDO";"16 a 24 anos";3040,48347408;2806,60012992
"RIACHO FUNDO";"25 a 34 anos";2936,53532112;4235,88723312
"RIACHO FUNDO";"35 a 44 anos";2806,60012992;3170,41866528
"RIACHO FUNDO";"45 a 59 anos";3534,23720064;4859,57615088
"RIACHO FUNDO";"60 anos ou mais";2156,92417392;3144,43162704
"LAGO NORTE";"0 a 15 anos";2717,703;1937,8404
"LAGO NORTE";"16 a 24 anos";1819,6794;2315,9556
"LAGO NORTE";"25 a 34 anos";3710,2554;3733,8876
"LAGO NORTE";"35 a 44 anos";2764,9674;2954,025
"LAGO NORTE";"45 a 59 anos";2363,22;2954,025
"LAGO NORTE";"60 anos ou mais";4395,5892;4726,44
"CANDANGOLÂNDIA";"0 a 15 anos";1209,826003302;1190,622415948
"CANDANGOLÂNDIA";"16 a 24 anos";1315,445733749;1229,029590656
"CANDANGOLÂNDIA";"25 a 34 anos";1411,463670519;1430,667257873
"CANDANGOLÂNDIA";"35 a 44 anos";1056,19730447;1161,817034917
"CANDANGOLÂNDIA";"45 a 59 anos";1152,21524124;1709,119274506
"CANDANGOLÂNDIA";"60 anos ou mais";1296,242146395;1478,676226258
"ÁGUAS CLARAS";"0 a 15 anos";11476,533939;11805,82912394
"ÁGUAS CLARAS";"16 a 24 anos";9733,73116316;10559,39638211
"ÁGUAS CLARAS";"25 a 34 anos";10947,29073776;14524,11409468
"ÁGUAS CLARAS";"35 a 44 anos";13047,84426392;13456,96695063
"ÁGUAS CLARAS";"45 a 59 anos";12505,97328654;13299,06677614
"ÁGUAS CLARAS";"60 anos ou mais";7539,63484131;9665,84052837
"RIACHO FUNDO II";"0 a 15 anos";5832,27240896;5381,32351136
"RIACHO FUNDO II";"16 a 24 anos";4840,18483424;5110,7541728
"RIACHO FUNDO II";"25 a 34 anos";3607,5911808;3216,76880288
"RIACHO FUNDO II";"35 a 44 anos";3938,28703904;4389,23593664
"RIACHO FUNDO II";"45 a 59 anos";4299,04615712;5231,00721216
"RIACHO FUNDO II";"60 anos ou mais";2344,93426752;3517,40140128
"SUDOESTE/OCTOGONAL";"0 a 15 anos";2910,45237952;2759,9117392
"SUDOESTE/OCTOGONAL";"16 a 24 anos";2885,3622728;2709,73152576
"SUDOESTE/OCTOGONAL";"25 a 34 anos";5243,83230448;5946,35529264
"SUDOESTE/OCTOGONAL";"35 a 44 anos";4541,30931632;4767,1202768
"SUDOESTE/OCTOGONAL";"45 a 59 anos";5570,00369184;6347,79700016
"SUDOESTE/OCTOGONAL";"60 anos ou mais";4365,67856928;4942,75102384
"VARJÃO";"0 a 15 anos";1056,64694864;1075,023417312
"VARJÃO";"16 a 24 anos";1061,241065808;1029,082245632
"VARJÃO";"25 a 34 anos";790,188152896;656,958755024
"VARJÃO";"35 a 44 anos";560,482294496;679,929340864
"VARJÃO";"45 a 59 anos";523,729357152;643,17640352
"VARJÃO";"60 anos ou mais";188,358803888;188,358803888
"PARK WAY";"0 a 15 anos";1587,995542;1339,130569
"PARK WAY";"16 a 24 anos";1303,57843;1327,279856
"PARK WAY";"25 a 34 anos";1505,040551;1185,0713
"PARK WAY";"35 a 44 anos";1279,877004;1670,950533
"PARK WAY";"45 a 59 anos";2109,426914;2156,829766
"PARK WAY";"60 anos ou mais";2180,531192;2156,829766
"SCIA-ESTRUTURAL";"0 a 15 anos";5358,14412861;5377,77103018
"SCIA-ESTRUTURAL";"16 a 24 anos";4435,67975482;4730,08327837
"SCIA-ESTRUTURAL";"25 a 34 anos";2315,97438526;2983,28903864
"SCIA-ESTRUTURAL";"35 a 44 anos";2767,39312137;3650,60369202
"SCIA-ESTRUTURAL";"45 a 59 anos";2374,85508997;2472,98959782
"SCIA-ESTRUTURAL";"60 anos ou mais";1118,73338949;843,95676751
"SOBRADINHO II";"0 a 15 anos";9014,21967504;9777,52053462
"SOBRADINHO II";"16 a 24 anos";9777,52053462;8832,48137514
"SOBRADINHO II";"25 a 34 anos";6978,75071616;8032,83285558
"SOBRADINHO II";"35 a 44 anos";6942,40305618;8287,26647544
"SOBRADINHO II";"45 a 59 anos";9486,73925478;10795,25501406
"SOBRADINHO II";"60 anos ou mais";5851,97325678;6906,0553962
"JARDIM BOTÂNICO";"0 a 15 anos";2380,89263816;2107,41172702
"JARDIM BOTÂNICO";"16 a 24 anos";2203,93440154;1721,32102894
"JARDIM BOTÂNICO";"25 a 34 anos";1689,1468041;1962,62771524
"JARDIM BOTÂNICO";"35 a 44 anos";2123,49883944;2493,5024251
"JARDIM BOTÂNICO";"45 a 59 anos";2654,3735493;3088,72558464
"JARDIM BOTÂNICO";"60 anos ou mais";1930,4534904;2525,67664994
"ITAPOÃ";"0 a 15 anos";9178,40128545;9776,2281891
"ITAPOÃ";"16 a 24 anos";6681,5948055;7666,2508821
"ITAPOÃ";"25 a 34 anos";4852,9478061;4888,11409455
"ITAPOÃ";"35 a 44 anos";4923,280383;6259,5993441
"ITAPOÃ";"45 a 59 anos";4712,2826523;4430,9523447
"ITAPOÃ";"60 anos ou mais";1898,9795763;1969,3121532
"SIA";"0 a 15 anos";232,857331408;194,794113774
"SIA";"16 a 24 anos";228,379305804;203,750164982
"SIA";"25 a 34 anos";98,516563288;109,711627298
"SIA";"35 a 44 anos";226,140293002;246,29140822
"SIA";"45 a 59 anos";210,467203388;163,447934546
"SIA";"60 anos ou mais";35,824204832;40,302230436
"VICENTE PIRES";"0 a 15 anos";6651,17078325;5690,16511875
"VICENTE PIRES";"16 a 24 anos";6094,79908275;5639,58587325
"VICENTE PIRES";"25 a 34 anos";4628,00096325;4956,766059
"VICENTE PIRES";"35 a 44 anos";4855,607568;6322,4056875
"VICENTE PIRES";"45 a 59 anos";7688,045316;8168,54814825
"VICENTE PIRES";"60 anos ou mais";6145,37832825;5892,48210075
"FERCAL";"0 a 15 anos";1073,679809334;1180,160451582
"FERCAL";"16 a 24 anos";958,325780232;851,845137984
"FERCAL";"25 a 34 anos";683,250787758;683,250787758
"FERCAL";"35 a 44 anos";581,206838937;683,250787758
"FERCAL";"45 a 59 anos";612,263692926;554,586678375
"FERCAL";"60 anos ou mais";190,777817361;235,144751631
